Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Single,21,Policy Holder,Sport,71403,0,12,300,1,45,59,0,3,28,No,No,External,0,1,4,1994,Liability
Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,34,Policy Holder,Sport,80719,0,15,400,4,42,36,0,6,34,Yes,No,External,0,-1,1,1994,Collision
Oct,5,Friday,Honda,Urban,Thursday,Nov,2,Male,Married,47,Policy Holder,Sport,75643,0,7,400,3,59,41,1,7,43,No,No,External,0,-1,1,1994,Collision
Jun,2,Saturday,Toyota,Rural,Friday,Jul,1,Male,Married,65,Third Party,Sport,23276,0,4,400,2,49,45,1,10,53,Yes,No,External,6,-1,1,1994,Liability
Jan,5,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,27,Third Party,Sport,85854,0,3,400,1,55,38,0,5,32,No,No,External,0,-1,1,1994,Collision
Oct,4,Friday,Honda,Urban,Wednesday,Nov,1,Male,Single,20,Third Party,Sport,73805,0,12,400,3,38,32,0,5,25,No,No,External,3,-1,1,1994,Collision
Feb,1,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,36,Third Party,Sport,99321,0,14,400,1,44,52,1,7,39,No,No,External,2,-1,1,1994,Collision
Nov,1,Friday,Honda,Urban,Tuesday,Mar,4,Male,Single,0,Policy Holder,Sport,92555,0,1,400,4,47,53,1,0,16,No,No,External,0,-1,1,1994,Collision
Dec,4,Saturday,Honda,Urban,Wednesday,Dec,5,Male,Single,30,Policy Holder,Sport,98738,0,7,400,4,54,53,0,6,34,No,Yes,External,3,-1,1,1994,Collision
Apr,3,Tuesday,Ford,Urban,Wednesday,Apr,3,Male,Married,42,Policy Holder,Utility,85840,0,7,400,1,52,37,4,9,37,No,No,External,5,-1,1,1994,All Perils
Mar,2,Sunday,Mazda,Urban,Wednesday,Mar,3,Male,Single,71,Policy Holder,Sedan,85534,0,7,400,3,54,53,0,9,67,No,No,External,0,-1,1,1994,All Perils
Mar,5,Monday,Honda,Urban,Monday,Mar,5,Male,Married,52,Policy Holder,Sport,28034,0,13,400,1,43,55,2,14,41,No,No,External,0,-1,1,1994,Liability
Jan,3,Friday,Ford,Urban,Friday,Jan,3,Male,Married,28,Policy Holder,Sport,79339,0,11,400,1,50,46,1,7,34,No,No,External,0,-1,1,1994,Liability
Jan,5,Friday,Honda,Rural,Wednesday,Feb,1,Male,Single,0,Third Party,Sedan,90777,0,12,400,3,49,31,0,0,17,No,No,External,0,-1,1,1994,Collision
Jan,5,Monday,Ford,Urban,Thursday,Feb,1,Male,Married,61,Policy Holder,Sport,76105,0,3,400,1,45,56,0,11,62,No,No,External,0,-1,1,1994,Liability
Aug,4,Tuesday,Ford,Urban,Monday,Aug,5,Male,Single,38,Policy Holder,Sport,77773,0,16,400,1,59,49,0,6,36,No,No,External,0,-1,1,1994,Liability
Apr,4,Thursday,Ford,Urban,Wednesday,May,1,Male,Married,41,Policy Holder,Sedan,74600,0,15,400,4,48,50,0,7,36,No,No,External,0,-1,1,1994,All Perils
Jul,5,Sunday,Chevrolet,Urban,Wednesday,Aug,1,Female,Married,28,Third Party,Sedan,28046,0,6,400,1,56,42,0,7,33,No,No,External,1,-1,1,1994,Collision
May,4,Thursday,Pontiac,Urban,Monday,May,5,Male,Single,32,Policy Holder,Sport,25774,0,6,400,1,43,32,1,7,34,No,No,External,0,-1,1,1994,Liability
Apr,4,Monday,Honda,Urban,Tuesday,May,1,Male,Married,30,Third Party,Sport,90307,0,2,400,2,59,55,3,6,35,No,No,External,6,-1,1,1994,Liability
Apr,2,Friday,Mazda,Urban,Tuesday,May,1,Male,Married,40,Policy Holder,Sport,20268,0,3,400,1,33,35,1,13,40,No,No,External,9,-1,1,1994,Liability
Jan,2,Saturday,Chevrolet,Urban,Monday,Jan,2,Male,Married,47,Policy Holder,Sedan,27945,0,13,400,2,47,55,1,11,41,No,No,External,0,4,2,1994,Collision
Aug,3,Sunday,Mazda,Urban,Thursday,Aug,5,Male,Married,63,Policy Holder,Sport,22817,0,8,400,3,54,40,1,11,60,No,No,External,1,-1,1,1994,Liability
Jun,3,Saturday,Pontiac,Urban,Tuesday,Jun,3,Male,Single,31,Third Party,Sport,30959,0,5,400,3,46,52,0,6,32,No,No,External,5,-1,1,1994,Liability
Sep,3,Friday,Mazda,Urban,Friday,Sep,3,Male,Married,45,Policy Holder,Sedan,84234,0,12,400,3,35,60,7,9,40,Yes,No,External,0,-1,1,1994,All Perils
Mar,3,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,60,Policy Holder,Sport,24094,0,16,400,4,48,59,8,13,56,No,No,External,0,-1,1,1994,Liability
Mar,3,Thursday,Honda,Urban,Thursday,Jun,4,Male,Married,21,Policy Holder,Sedan,37269,0,1,400,2,56,45,7,5,27,No,No,External,9,-1,1,1994,Collision
May,3,Sunday,Accura,Urban,Friday,May,4,Male,Married,42,Policy Holder,Sedan,31420,0,1,400,3,43,35,3,7,37,No,No,External,2,-1,1,1994,All Perils
Jul,1,Saturday,Honda,Urban,Tuesday,Sep,4,Male,Single,0,Policy Holder,Sedan,93492,1,9,400,1,51,56,0,0,17,No,No,External,0,-1,1,1994,All Perils
May,3,Monday,Mazda,Urban,Wednesday,May,4,Female,Married,39,Policy Holder,Sedan,25443,0,12,400,3,32,44,0,7,37,No,No,External,0,-1,1,1994,Collision
Mar,2,Friday,Dodge,Urban,Saturday,Mar,2,Male,Married,47,Policy Holder,Sedan,32984,0,2,400,1,32,51,3,13,48,No,No,Internal,0,-1,1,1994,Collision
Mar,1,Sunday,Honda,Urban,Tuesday,Mar,2,Male,Single,0,Policy Holder,Sedan,81418,0,6,400,1,51,39,1,0,17,No,No,External,0,-1,1,1994,Collision
Mar,2,Wednesday,Chevrolet,Urban,Wednesday,Mar,2,Male,Single,42,Policy Holder,Sedan,24880,0,2,400,3,35,47,7,7,36,No,No,External,3,-1,1,1994,Collision
Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Single,30,Third Party,Sedan,28772,0,2,400,4,31,54,0,6,35,No,No,External,1,-1,1,1994,Collision
Jan,4,Tuesday,Ford,Urban,Wednesday,Jan,4,Male,Married,42,Policy Holder,Utility,85241,0,12,400,1,33,53,4,7,38,No,No,External,0,-1,1,1994,All Perils
Oct,2,Wednesday,Chevrolet,Urban,Thursday,Oct,2,Male,Single,34,Third Party,Sport,24389,0,5,400,3,53,52,4,7,31,No,No,External,9,-1,1,1994,Liability
Oct,2,Tuesday,Honda,Urban,Thursday,Oct,3,Male,Married,30,Third Party,Sedan,20247,0,11,400,4,43,52,0,6,31,No,No,External,9,-1,1,1994,Collision
Sep,2,Friday,Mazda,Urban,Friday,Sep,3,Male,Single,27,Policy Holder,Sedan,35309,0,4,400,2,46,34,0,7,32,No,No,External,7,-1,1,1994,Collision
Nov,4,Tuesday,Honda,Urban,Thursday,Nov,4,Male,Married,55,Policy Holder,Sport,81673,0,12,400,1,54,43,0,15,45,No,No,External,0,-1,1,1994,Collision
Nov,4,Thursday,Toyota,Urban,Tuesday,Jan,1,Male,Married,35,Policy Holder,Sedan,20266,0,1,400,3,47,36,0,7,33,No,No,External,2,-1,1,1994,Collision
Mar,4,Wednesday,Chevrolet,Urban,Wednesday,Apr,1,Female,Married,35,Policy Holder,Sedan,23784,0,11,400,1,59,43,2,6,35,No,No,External,9,-1,1,1994,Collision
Mar,3,Friday,Pontiac,Urban,Wednesday,Mar,4,Male,Married,44,Policy Holder,Sedan,22425,0,15,400,1,54,32,3,7,38,No,No,External,3,-1,3,1994,All Perils
Jul,1,Monday,Toyota,Urban,Monday,Jul,1,Female,Single,42,Policy Holder,Sport,26682,0,12,400,4,59,53,0,4,37,No,No,External,0,8,2,1994,Liability
Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan,27929,0,5,400,2,44,54,3,7,39,No,No,External,1,-1,1,1994,Collision
